央视频道,#genre#
沧州公共,http://ren.xuewen.plus:8008/udp/239.254.200.43:6000
沧州影视娱乐,http://ren.xuewen.plus:8008/udp/239.254.200.44:6000
保定新闻综合,http://ren.xuewen.plus:8008/udp/239.254.200.144:6000
保定公共频道,http://ren.xuewen.plus:8008/udp/239.254.200.145:6000
保定生活健康,http://ren.xuewen.plus:8008/udp/239.254.200.146:6000
衡水新闻综合,http://ren.xuewen.plus:8008/udp/239.254.200.147:6000
衡水经济科教,http://ren.xuewen.plus:8008/udp/239.254.200.149:6000
邢台综合,http://ren.xuewen.plus:8008/udp/239.254.200.150:6000
邢台城市生活,http://ren.xuewen.plus:8008/udp/239.254.200.152:6000
邯郸新闻综合,http://ren.xuewen.plus:8008/udp/239.254.200.153:6000
邯郸公共,http://ren.xuewen.plus:8008/udp/239.254.200.154:6000
邯郸科技教育,http://ren.xuewen.plus:8008/udp/239.254.200.155:6000

县级电视,#genre#
遵化电视,http://ren.xuewen.plus:8008/udp/239.254.201.146:5202
昌黎电视,http://ren.xuewen.plus:8008/udp/239.254.201.61:5230
抚宁电视，http://ren.xuewen.plus:8008/udp/239.254.201.213:5232
卢龙电视，http://ren.xuewen.plus:8008/udp/239.254.201.216:5233
唐钢电视，http://ren.xuewen.plus:8008/udp/239.254.200.119:5203
丰南电视，http://ren.xuewen.plus:8008/udp/239.254.200.218:5186
迁西电视，http://ren.xuewen.plus:8008/udp/239.254.201.26:5188
滦南电视，http://ren.xuewen.plus:8008/udp/239.254.201.22:5191
玉田电视，http://ren.xuewen.plus:8008/udp/239.254.201.28:5194
滦州电视，http://ren.xuewen.plus:8008/udp/239.254.201.30:5196
迁安电视，http://ren.xuewen.plus:8008/udp/239.254.201.109:5199
乐亭电视，http://ren.xuewen.plus:8008/udp/239.254.201.107:5200
丰润电视，http://ren.xuewen.plus:8008/udp/239.254.201.58:5197
